Year,Quarter,Area of Residence,Reason for Journey,Avg Length of Stay,Expenditure,Overseas Trip Percentage,Total Trips,Number of Trips,Season
2016,1,Other countries (24),Visit to friends/relatives,17.4,39.0,7.0,1784700,124929.00000000001,Winter
2016,2,Other countries (24),Visit to friends/relatives,14.8,37.0,7.0,2598900,181923.00000000003,Spring
2016,3,Other countries (24),Visit to friends/relatives,17.6,51.0,7.0,3061500,214305.00000000003,Summer
2016,4,Other countries (24),Visit to friends/relatives,13.7,28.0,6.0,2139200,128352.0,Autumn
2017,1,Other countries (24),Visit to friends/relatives,17.4,37.0,8.0,1796100,143688.0,Winter
2017,2,Other countries (24),Visit to friends/relatives,14.5,41.0,8.0,2769400,221552.0,Spring
2017,3,Other countries (24),Visit to friends/relatives,17.3,62.0,9.0,3095600,278604.0,Summer
2017,4,Other countries (24),Visit to friends/relatives,17.0,38.0,6.0,2270900,136254.0,Autumn
2018,1,Other countries (24),Visit to friends/relatives,17.6,33.0,7.0,1920700,134449.0,Winter
2018,2,Other countries (24),Visit to friends/relatives,14.2,40.0,6.0,2951900,177114.0,Spring
2018,3,Other countries (24),Visit to friends/relatives,17.9,64.0,10.0,3330900,333090.0,Summer
2018,4,Other countries (24),Visit to friends/relatives,15.4,35.0,7.0,2412800,168896.00000000003,Autumn
2019,1,Other countries (24),Visit to friends/relatives,17.5,43.0,9.0,2026700,182403.0,Winter
2019,2,Other countries (24),Visit to friends/relatives,14.0,39.0,7.0,3021800,211526.00000000003,Spring
2019,3,Other countries (24),Visit to friends/relatives,16.6,61.0,9.0,3334400,300096.0,Summer
2019,4,Other countries (24),Visit to friends/relatives,14.2,39.0,7.0,2424600,169722.00000000003,Autumn
2012,1,United States and Canada,All reasons for journey,8.0,97.0,12.0,1165100,139812.0,Winter
2012,2,United States and Canada,All reasons for journey,8.6,210.0,16.0,1817300,290768.0,Spring
2012,3,United States and Canada,All reasons for journey,8.4,287.0,17.0,2096700,356439.0,Summer
2012,4,United States and Canada,All reasons for journey,9.1,148.0,14.0,1438000,201320.00000000003,Autumn
2013,1,United States and Canada,All reasons for journey,7.3,101.0,13.0,1251700,162721.0,Winter
2013,2,United States and Canada,All reasons for journey,7.9,239.0,17.0,1893000,321810.0,Spring
2013,3,United States and Canada,All reasons for journey,8.3,329.0,18.0,2261000,406980.0,Summer
2013,4,United States and Canada,All reasons for journey,8.8,153.0,13.0,1580100,205413.0,Autumn
2014,1,United States and Canada,All reasons for journey,7.3,107.0,13.0,1342500,174525.0,Winter
2014,2,United States and Canada,All reasons for journey,7.0,267.0,17.0,2126600,361522.0,Spring
2014,3,United States and Canada,All reasons for journey,7.9,389.0,19.0,2440400,463676.0,Summer
2014,4,United States and Canada,All reasons for journey,7.3,172.0,14.0,1694900,237286.00000000003,Autumn
2015,1,United States and Canada,All reasons for journey,7.0,125.0,12.0,1531300,183756.0,Winter
2015,2,United States and Canada,All reasons for journey,7.7,375.0,18.0,2344900,422082.0,Spring
2015,3,United States and Canada,All reasons for journey,7.8,470.0,19.0,2770900,526471.0,Summer
2015,4,United States and Canada,All reasons for journey,8.0,226.0,14.0,1995900,279426.0,Autumn
2016,1,United States and Canada,All reasons for journey,6.9,144.0,12.0,1784700,214164.0,Winter
2016,2,United States and Canada,All reasons for journey,6.7,394.0,18.0,2598900,467802.0,Spring
2016,3,United States and Canada,All reasons for journey,7.4,494.0,19.0,3061500,581685.0,Summer
2016,4,United States and Canada,All reasons for journey,7.7,303.0,17.0,2139200,363664.0,Autumn
2017,1,United States and Canada,All reasons for journey,6.0,152.0,14.0,1796100,251454.00000000003,Winter
2017,2,United States and Canada,All reasons for journey,7.0,476.0,21.0,2769400,581574.0,Spring
2017,3,United States and Canada,All reasons for journey,7.3,580.0,22.0,3095600,681032.0,Summer
