Year,Quarter,Area of Residence,Reason for Journey,Avg Length of Stay,Expenditure,Overseas Trip Percentage,Total Trips,Number of Trips,Season
2012,1,All Countries,All reasons for journey,6.8,483.0,100.0,1165100,1165100.0,Winter
2012,2,All Countries,All reasons for journey,7.0,816.0,100.0,1817300,1817300.0,Spring
2012,3,All Countries,All reasons for journey,8.1,994.0,100.0,2096700,2096700.0,Summer
2012,4,All Countries,All reasons for journey,7.2,622.0,100.0,1438000,1438000.0,Autumn
2013,1,All Countries,All reasons for journey,6.7,541.0,100.0,1251700,1251700.0,Winter
2013,2,All Countries,All reasons for journey,7.0,870.0,100.0,1893000,1893000.0,Spring
2013,3,All Countries,All reasons for journey,8.2,1186.0,100.0,2261000,2261000.0,Summer
2013,4,All Countries,All reasons for journey,6.8,665.0,100.0,1580100,1580100.0,Autumn
2014,1,All Countries,All reasons for journey,6.6,534.0,100.0,1342500,1342500.0,Winter
2014,2,All Countries,All reasons for journey,7.1,1001.0,100.0,2126600,2126600.0,Spring
2014,3,All Countries,All reasons for journey,8.1,1303.0,100.0,2440400,2440400.0,Summer
2014,4,All Countries,All reasons for journey,6.6,711.0,100.0,1694900,1694900.0,Autumn
2015,1,All Countries,All reasons for journey,6.5,590.0,100.0,1531300,1531300.0,Winter
2015,2,All Countries,All reasons for journey,7.0,1194.0,100.0,2344900,2344900.0,Spring
2015,3,All Countries,All reasons for journey,7.9,1551.0,100.0,2770900,2770900.0,Summer
2015,4,All Countries,All reasons for journey,6.4,873.0,100.0,1995900,1995900.0,Autumn
2016,1,All Countries,All reasons for journey,6.5,693.0,100.0,1784700,1784700.0,Winter
2016,2,All Countries,All reasons for journey,6.7,1261.0,100.0,2598900,2598900.0,Spring
2016,3,All Countries,All reasons for journey,7.7,1693.0,100.0,3061500,3061500.0,Summer
2016,4,All Countries,All reasons for journey,6.4,930.0,100.0,2139200,2139200.0,Autumn
2017,1,All Countries,All reasons for journey,6.2,684.0,100.0,1796100,1796100.0,Winter
2017,2,All Countries,All reasons for journey,6.6,1408.0,100.0,2769400,2769400.0,Spring
2017,3,All Countries,All reasons for journey,7.6,1736.0,100.0,3095600,3095600.0,Summer
2017,4,All Countries,All reasons for journey,6.9,1046.0,100.0,2270900,2270900.0,Autumn
2018,1,All Countries,All reasons for journey,6.5,795.0,100.0,1920700,1920700.0,Winter
2018,2,All Countries,All reasons for journey,6.3,1475.0,100.0,2951900,2951900.0,Spring
2018,3,All Countries,All reasons for journey,7.4,1832.0,100.0,3330900,3330900.0,Summer
2018,4,All Countries,All reasons for journey,6.3,1047.0,100.0,2412800,2412800.0,Autumn
2019,1,All Countries,All reasons for journey,6.0,763.0,100.0,2026700,2026700.0,Winter
2019,2,All Countries,All reasons for journey,6.5,1513.0,100.0,3021800,3021800.0,Spring
2019,3,All Countries,All reasons for journey,7.0,1824.0,100.0,3334400,3334400.0,Summer
2019,4,All Countries,All reasons for journey,6.2,1001.0,100.0,2424600,2424600.0,Autumn
2012,1,All Countries,Business,4.0,126.0,100.0,1165100,1165100.0,Winter
2012,2,All Countries,Business,4.4,136.0,100.0,1817300,1817300.0,Spring
2012,3,All Countries,Business,4.7,124.0,100.0,2096700,2096700.0,Summer
2012,4,All Countries,Business,6.6,144.0,100.0,1438000,1438000.0,Autumn
2013,1,All Countries,Business,4.8,152.0,100.0,1251700,1251700.0,Winter
2013,2,All Countries,Business,5.2,136.0,100.0,1893000,1893000.0,Spring
2013,3,All Countries,Business,5.4,124.0,100.0,2261000,2261000.0,Summer
2013,4,All Countries,Business,6.0,168.0,100.0,1580100,1580100.0,Autumn
2014,1,All Countries,Business,4.8,120.0,100.0,1342500,1342500.0,Winter
2014,2,All Countries,Business,5.2,179.0,100.0,2126600,2126600.0,Spring
2014,3,All Countries,Business,6.2,136.0,100.0,2440400,2440400.0,Summer
2014,4,All Countries,Business,6.1,153.0,100.0,1694900,1694900.0,Autumn
2015,1,All Countries,Business,4.8,151.0,100.0,1531300,1531300.0,Winter
2015,2,All Countries,Business,5.5,172.0,100.0,2344900,2344900.0,Spring
2015,3,All Countries,Business,6.0,163.0,100.0,2770900,2770900.0,Summer
2015,4,All Countries,Business,5.1,189.0,100.0,1995900,1995900.0,Autumn
2016,1,All Countries,Business,5.3,148.0,100.0,1784700,1784700.0,Winter
2016,2,All Countries,Business,5.2,198.0,100.0,2598900,2598900.0,Spring
2016,3,All Countries,Business,6.5,186.0,100.0,3061500,3061500.0,Summer
2016,4,All Countries,Business,5.9,191.0,100.0,2139200,2139200.0,Autumn
2017,1,All Countries,Business,5.0,151.0,100.0,1796100,1796100.0,Winter
2017,2,All Countries,Business,5.7,213.0,100.0,2769400,2769400.0,Spring
2017,3,All Countries,Business,6.6,199.0,100.0,3095600,3095600.0,Summer
2017,4,All Countries,Business,7.3,204.0,100.0,2270900,2270900.0,Autumn
2018,1,All Countries,Business,5.9,169.0,100.0,1920700,1920700.0,Winter
2018,2,All Countries,Business,5.7,189.0,100.0,2951900,2951900.0,Spring
2018,3,All Countries,Business,6.5,202.0,100.0,3330900,3330900.0,Summer
2018,4,All Countries,Business,6.6,184.0,100.0,2412800,2412800.0,Autumn
2019,1,All Countries,Business,5.3,167.0,100.0,2026700,2026700.0,Winter
2019,2,All Countries,Business,5.7,180.0,100.0,3021800,3021800.0,Spring
2019,3,All Countries,Business,6.5,198.0,100.0,3334400,3334400.0,Summer
2019,4,All Countries,Business,6.3,176.0,100.0,2424600,2424600.0,Autumn
2012,1,All Countries,Holiday/leisure/recreation,5.2,180.0,100.0,1165100,1165100.0,Winter
2012,2,All Countries,Holiday/leisure/recreation,6.4,453.0,100.0,1817300,1817300.0,Spring
2012,3,All Countries,Holiday/leisure/recreation,7.6,608.0,100.0,2096700,2096700.0,Summer
2012,4,All Countries,Holiday/leisure/recreation,5.8,272.0,100.0,1438000,1438000.0,Autumn
2013,1,All Countries,Holiday/leisure/recreation,5.1,212.0,100.0,1251700,1251700.0,Winter
2013,2,All Countries,Holiday/leisure/recreation,6.4,486.0,100.0,1893000,1893000.0,Spring
2013,3,All Countries,Holiday/leisure/recreation,7.9,727.0,100.0,2261000,2261000.0,Summer
2013,4,All Countries,Holiday/leisure/recreation,5.6,262.0,100.0,1580100,1580100.0,Autumn
2014,1,All Countries,Holiday/leisure/recreation,5.1,194.0,100.0,1342500,1342500.0,Winter
2014,2,All Countries,Holiday/leisure/recreation,6.2,502.0,100.0,2126600,2126600.0,Spring
2014,3,All Countries,Holiday/leisure/recreation,8.0,811.0,100.0,2440400,2440400.0,Summer
2014,4,All Countries,Holiday/leisure/recreation,5.3,316.0,100.0,1694900,1694900.0,Autumn
2015,1,All Countries,Holiday/leisure/recreation,5.0,219.0,100.0,1531300,1531300.0,Winter
2015,2,All Countries,Holiday/leisure/recreation,6.3,717.0,100.0,2344900,2344900.0,Spring
2015,3,All Countries,Holiday/leisure/recreation,7.8,1002.0,100.0,2770900,2770900.0,Summer
2015,4,All Countries,Holiday/leisure/recreation,5.3,392.0,100.0,1995900,1995900.0,Autumn
2016,1,All Countries,Holiday/leisure/recreation,4.8,282.0,100.0,1784700,1784700.0,Winter
2016,2,All Countries,Holiday/leisure/recreation,6.3,738.0,100.0,2598900,2598900.0,Spring
2016,3,All Countries,Holiday/leisure/recreation,7.7,1073.0,100.0,3061500,3061500.0,Summer
2016,4,All Countries,Holiday/leisure/recreation,5.5,455.0,100.0,2139200,2139200.0,Autumn
2017,1,All Countries,Holiday/leisure/recreation,4.9,283.0,100.0,1796100,1796100.0,Winter
2017,2,All Countries,Holiday/leisure/recreation,6.3,861.0,100.0,2769400,2769400.0,Spring
2017,3,All Countries,Holiday/leisure/recreation,7.7,1106.0,100.0,3095600,3095600.0,Summer
2017,4,All Countries,Holiday/leisure/recreation,5.5,507.0,100.0,2270900,2270900.0,Autumn
2018,1,All Countries,Holiday/leisure/recreation,5.2,350.0,100.0,1920700,1920700.0,Winter
2018,2,All Countries,Holiday/leisure/recreation,5.9,925.0,100.0,2951900,2951900.0,Spring
2018,3,All Countries,Holiday/leisure/recreation,7.6,1249.0,100.0,3330900,3330900.0,Summer
2018,4,All Countries,Holiday/leisure/recreation,5.5,582.0,100.0,2412800,2412800.0,Autumn
2019,1,All Countries,Holiday/leisure/recreation,4.9,350.0,100.0,2026700,2026700.0,Winter
2019,2,All Countries,Holiday/leisure/recreation,6.1,985.0,100.0,3021800,3021800.0,Spring
2019,3,All Countries,Holiday/leisure/recreation,7.4,1252.0,100.0,3334400,3334400.0,Summer
2019,4,All Countries,Holiday/leisure/recreation,4.9,487.0,100.0,2424600,2424600.0,Autumn
2012,1,All Countries,Other reason for journey,14.7,48.0,100.0,1165100,1165100.0,Winter
2012,2,All Countries,Other reason for journey,14.0,77.0,100.0,1817300,1817300.0,Spring
2012,3,All Countries,Other reason for journey,15.2,98.0,100.0,2096700,2096700.0,Summer
2012,4,All Countries,Other reason for journey,15.1,64.0,100.0,1438000,1438000.0,Autumn
2013,1,All Countries,Other reason for journey,17.5,49.0,100.0,1251700,1251700.0,Winter
2013,2,All Countries,Other reason for journey,13.1,110.0,100.0,1893000,1893000.0,Spring
2013,3,All Countries,Other reason for journey,12.3,102.0,100.0,2261000,2261000.0,Summer
2013,4,All Countries,Other reason for journey,15.7,63.0,100.0,1580100,1580100.0,Autumn
2014,1,All Countries,Other reason for journey,12.4,50.0,100.0,1342500,1342500.0,Winter
2014,2,All Countries,Other reason for journey,14.4,125.0,100.0,2126600,2126600.0,Spring
2014,3,All Countries,Other reason for journey,9.6,105.0,100.0,2440400,2440400.0,Summer
2014,4,All Countries,Other reason for journey,12.4,72.0,100.0,1694900,1694900.0,Autumn
2015,1,All Countries,Other reason for journey,14.9,69.0,100.0,1531300,1531300.0,Winter
2015,2,All Countries,Other reason for journey,13.4,106.0,100.0,2344900,2344900.0,Spring
2015,3,All Countries,Other reason for journey,9.2,129.0,100.0,2770900,2770900.0,Summer
2015,4,All Countries,Other reason for journey,12.5,96.0,100.0,1995900,1995900.0,Autumn
2016,1,All Countries,Other reason for journey,13.2,72.0,100.0,1784700,1784700.0,Winter
2016,2,All Countries,Other reason for journey,10.6,127.0,100.0,2598900,2598900.0,Spring
2016,3,All Countries,Other reason for journey,8.0,163.0,100.0,3061500,3061500.0,Summer
2016,4,All Countries,Other reason for journey,10.3,80.0,100.0,2139200,2139200.0,Autumn
2017,1,All Countries,Other reason for journey,9.4,65.0,100.0,1796100,1796100.0,Winter
2017,2,All Countries,Other reason for journey,9.2,116.0,100.0,2769400,2769400.0,Spring
2017,3,All Countries,Other reason for journey,7.1,151.0,100.0,3095600,3095600.0,Summer
2017,4,All Countries,Other reason for journey,12.8,124.0,100.0,2270900,2270900.0,Autumn
2018,1,All Countries,Other reason for journey,10.5,95.0,100.0,1920700,1920700.0,Winter
2018,2,All Countries,Other reason for journey,9.1,121.0,100.0,2951900,2951900.0,Spring
2018,3,All Countries,Other reason for journey,5.6,108.0,100.0,3330900,3330900.0,Summer
2018,4,All Countries,Other reason for journey,8.6,95.0,100.0,2412800,2412800.0,Autumn
2019,1,All Countries,Other reason for journey,7.0,67.0,100.0,2026700,2026700.0,Winter
2019,2,All Countries,Other reason for journey,8.3,125.0,100.0,3021800,3021800.0,Spring
2019,3,All Countries,Other reason for journey,4.3,79.0,100.0,3334400,3334400.0,Summer
2019,4,All Countries,Other reason for journey,11.1,128.0,100.0,2424600,2424600.0,Autumn
2012,1,All Countries,Visit to friends/relatives,8.1,129.0,100.0,1165100,1165100.0,Winter
2012,2,All Countries,Visit to friends/relatives,7.0,151.0,100.0,1817300,1817300.0,Spring
2012,3,All Countries,Visit to friends/relatives,7.8,164.0,100.0,2096700,2096700.0,Summer
2012,4,All Countries,Visit to friends/relatives,6.4,144.0,100.0,1438000,1438000.0,Autumn
2013,1,All Countries,Visit to friends/relatives,7.4,128.0,100.0,1251700,1251700.0,Winter
2013,2,All Countries,Visit to friends/relatives,6.6,139.0,100.0,1893000,1893000.0,Spring
2013,3,All Countries,Visit to friends/relatives,8.5,232.0,100.0,2261000,2261000.0,Summer
2013,4,All Countries,Visit to friends/relatives,6.3,171.0,100.0,1580100,1580100.0,Autumn
2014,1,All Countries,Visit to friends/relatives,7.8,170.0,100.0,1342500,1342500.0,Winter
2014,2,All Countries,Visit to friends/relatives,6.9,195.0,100.0,2126600,2126600.0,Spring
2014,3,All Countries,Visit to friends/relatives,8.5,251.0,100.0,2440400,2440400.0,Summer
2014,4,All Countries,Visit to friends/relatives,6.4,169.0,100.0,1694900,1694900.0,Autumn
2015,1,All Countries,Visit to friends/relatives,7.2,151.0,100.0,1531300,1531300.0,Winter
2015,2,All Countries,Visit to friends/relatives,6.8,198.0,100.0,2344900,2344900.0,Spring
2015,3,All Countries,Visit to friends/relatives,8.7,256.0,100.0,2770900,2770900.0,Summer
2015,4,All Countries,Visit to friends/relatives,6.5,197.0,100.0,1995900,1995900.0,Autumn
2016,1,All Countries,Visit to friends/relatives,7.4,191.0,100.0,1784700,1784700.0,Winter
2016,2,All Countries,Visit to friends/relatives,6.6,199.0,100.0,2598900,2598900.0,Spring
2016,3,All Countries,Visit to friends/relatives,8.2,270.0,100.0,3061500,3061500.0,Summer
2016,4,All Countries,Visit to friends/relatives,6.4,204.0,100.0,2139200,2139200.0,Autumn
2017,1,All Countries,Visit to friends/relatives,7.4,185.0,100.0,1796100,1796100.0,Winter
2017,2,All Countries,Visit to friends/relatives,6.8,218.0,100.0,2769400,2769400.0,Spring
2017,3,All Countries,Visit to friends/relatives,8.2,281.0,100.0,3095600,3095600.0,Summer
2017,4,All Countries,Visit to friends/relatives,6.2,211.0,100.0,2270900,2270900.0,Autumn
2018,1,All Countries,Visit to friends/relatives,7.1,181.0,100.0,1920700,1920700.0,Winter
2018,2,All Countries,Visit to friends/relatives,6.3,240.0,100.0,2951900,2951900.0,Spring
2018,3,All Countries,Visit to friends/relatives,8.3,274.0,100.0,3330900,3330900.0,Summer
2018,4,All Countries,Visit to friends/relatives,6.4,186.0,100.0,2412800,2412800.0,Autumn
2019,1,All Countries,Visit to friends/relatives,7.5,178.0,100.0,2026700,2026700.0,Winter
2019,2,All Countries,Visit to friends/relatives,6.8,223.0,100.0,3021800,3021800.0,Spring
2019,3,All Countries,Visit to friends/relatives,8.2,295.0,100.0,3334400,3334400.0,Summer
2019,4,All Countries,Visit to friends/relatives,6.0,211.0,100.0,2424600,2424600.0,Autumn
2012,1,France,All reasons for journey,7.8,29.0,6.0,1165100,69906.0,Winter
2012,2,France,All reasons for journey,8.5,63.0,7.0,1817300,127211.00000000001,Spring
2012,3,France,All reasons for journey,10.6,66.0,6.0,2096700,125802.0,Summer
2012,4,France,All reasons for journey,9.6,31.0,5.0,1438000,71900.0,Autumn
2013,1,France,All reasons for journey,7.9,37.0,7.0,1251700,87619.00000000001,Winter
2013,2,France,All reasons for journey,9.1,60.0,8.0,1893000,151440.0,Spring
2013,3,France,All reasons for journey,9.7,72.0,6.0,2261000,135660.0,Summer
2013,4,France,All reasons for journey,8.4,31.0,5.0,1580100,79005.0,Autumn
2014,1,France,All reasons for journey,7.6,25.0,5.0,1342500,67125.0,Winter
2014,2,France,All reasons for journey,9.0,64.0,7.0,2126600,148862.0,Spring
2014,3,France,All reasons for journey,9.5,78.0,6.0,2440400,146424.0,Summer
2014,4,France,All reasons for journey,8.3,34.0,5.0,1694900,84745.0,Autumn
2015,1,France,All reasons for journey,8.1,33.0,6.0,1531300,91878.0,Winter
2015,2,France,All reasons for journey,8.5,78.0,7.0,2344900,164143.00000000003,Spring
2015,3,France,All reasons for journey,9.8,84.0,6.0,2770900,166254.0,Summer
2015,4,France,All reasons for journey,7.6,41.0,5.0,1995900,99795.0,Autumn
2016,1,France,All reasons for journey,8.3,42.0,5.0,1784700,89235.0,Winter
2016,2,France,All reasons for journey,9.9,92.0,7.0,2598900,181923.00000000003,Spring
2016,3,France,All reasons for journey,10.6,103.0,6.0,3061500,183690.0,Summer
2016,4,France,All reasons for journey,7.4,38.0,5.0,2139200,106960.0,Autumn
2017,1,France,All reasons for journey,8.6,51.0,6.0,1796100,107766.0,Winter
2017,2,France,All reasons for journey,8.1,82.0,6.0,2769400,166164.0,Spring
2017,3,France,All reasons for journey,9.5,99.0,5.0,3095600,154780.0,Summer
2017,4,France,All reasons for journey,11.3,63.0,5.0,2270900,113545.0,Autumn
2018,1,France,All reasons for journey,9.1,48.0,5.0,1920700,96035.0,Winter
2018,2,France,All reasons for journey,8.7,104.0,6.0,2951900,177114.0,Spring
2018,3,France,All reasons for journey,9.5,97.0,5.0,3330900,166545.0,Summer
2018,4,France,All reasons for journey,8.1,43.0,5.0,2412800,120640.0,Autumn
2019,1,France,All reasons for journey,7.9,43.0,6.0,2026700,121602.0,Winter
2019,2,France,All reasons for journey,9.8,81.0,6.0,3021800,181308.0,Spring
2019,3,France,All reasons for journey,9.6,98.0,5.0,3334400,166720.0,Summer
2019,4,France,All reasons for journey,8.1,46.0,5.0,2424600,121230.0,Autumn
2012,1,France,Business,6.6,9.0,9.0,1165100,104859.0,Winter
2012,2,France,Business,5.8,6.0,6.0,1817300,109038.0,Spring
2012,3,France,Business,9.3,6.0,7.0,2096700,146769.0,Summer
2012,4,France,Business,9.1,5.0,5.0,1438000,71900.0,Autumn
2013,1,France,Business,6.0,7.0,8.0,1251700,100136.0,Winter
2013,2,France,Business,5.1,5.0,4.0,1893000,75720.0,Spring
2013,3,France,Business,12.0,6.0,5.0,2261000,113050.0,Summer
2013,4,France,Business,6.7,8.0,5.0,1580100,79005.0,Autumn
2014,1,France,Business,7.0,6.0,6.0,1342500,80550.0,Winter
2014,2,France,Business,5.3,9.0,5.0,2126600,106330.0,Spring
2014,3,France,Business,12.3,6.0,4.0,2440400,97616.0,Summer
2014,4,France,Business,7.3,6.0,5.0,1694900,84745.0,Autumn
2015,1,France,Business,5.2,8.0,5.0,1531300,76565.0,Winter
2015,2,France,Business,7.9,4.0,3.0,2344900,70347.0,Spring
2015,3,France,Business,10.0,8.0,5.0,2770900,138545.0,Summer
2015,4,France,Business,7.2,6.0,4.0,1995900,79836.0,Autumn
2016,1,France,Business,6.8,8.0,6.0,1784700,107082.0,Winter
2016,2,France,Business,4.6,6.0,4.0,2598900,103956.0,Spring
2016,3,France,Business,14.3,9.0,5.0,3061500,153075.0,Summer
2016,4,France,Business,6.6,8.0,5.0,2139200,106960.0,Autumn
2017,1,France,Business,8.9,9.0,5.0,1796100,89805.0,Winter
2017,2,France,Business,4.7,10.0,5.0,2769400,138470.0,Spring
2017,3,France,Business,16.2,9.0,4.0,3095600,123824.0,Summer
2017,4,France,Business,16.6,10.0,5.0,2270900,113545.0,Autumn
2018,1,France,Business,6.1,9.0,5.0,1920700,96035.0,Winter
2018,2,France,Business,8.3,11.0,4.0,2951900,118076.0,Spring
2018,3,France,Business,12.6,8.0,3.0,3330900,99927.0,Summer
2018,4,France,Business,6.2,6.0,5.0,2412800,120640.0,Autumn
2019,1,France,Business,7.4,8.0,5.0,2026700,101335.0,Winter
2019,2,France,Business,6.9,9.0,6.0,3021800,181308.0,Spring
2019,3,France,Business,11.0,5.0,4.0,3334400,133376.0,Summer
2019,4,France,Business,10.0,10.0,5.0,2424600,121230.0,Autumn
2012,1,France,Holiday/leisure/recreation,5.4,10.0,5.0,1165100,58255.0,Winter
2012,2,France,Holiday/leisure/recreation,6.7,46.0,10.0,1817300,181730.0,Spring
2012,3,France,Holiday/leisure/recreation,9.8,49.0,8.0,2096700,167736.0,Summer
2012,4,France,Holiday/leisure/recreation,5.3,15.0,5.0,1438000,71900.0,Autumn
2013,1,France,Holiday/leisure/recreation,3.9,17.0,9.0,1251700,112653.0,Winter
2013,2,France,Holiday/leisure/recreation,6.2,36.0,9.0,1893000,170370.0,Spring
2013,3,France,Holiday/leisure/recreation,9.2,54.0,7.0,2261000,158270.00000000003,Summer
2013,4,France,Holiday/leisure/recreation,5.3,12.0,5.0,1580100,79005.0,Autumn
2014,1,France,Holiday/leisure/recreation,5.3,10.0,6.0,1342500,80550.0,Winter
2014,2,France,Holiday/leisure/recreation,6.8,37.0,9.0,2126600,191394.0,Spring
2014,3,France,Holiday/leisure/recreation,9.2,55.0,8.0,2440400,195232.0,Summer
2014,4,France,Holiday/leisure/recreation,4.4,15.0,6.0,1694900,101694.0,Autumn
2015,1,France,Holiday/leisure/recreation,4.4,13.0,8.0,1531300,122504.0,Winter
2015,2,France,Holiday/leisure/recreation,6.6,55.0,9.0,2344900,211041.0,Spring
2015,3,France,Holiday/leisure/recreation,8.8,64.0,7.0,2770900,193963.00000000003,Summer
2015,4,France,Holiday/leisure/recreation,5.5,17.0,6.0,1995900,119754.0,Autumn
2016,1,France,Holiday/leisure/recreation,5.6,17.0,6.0,1784700,107082.0,Winter
2016,2,France,Holiday/leisure/recreation,8.1,62.0,9.0,2598900,233901.0,Spring
2016,3,France,Holiday/leisure/recreation,9.2,78.0,7.0,3061500,214305.00000000003,Summer
2016,4,France,Holiday/leisure/recreation,5.4,18.0,5.0,2139200,106960.0,Autumn
2017,1,France,Holiday/leisure/recreation,4.8,24.0,8.0,1796100,143688.0,Winter
2017,2,France,Holiday/leisure/recreation,7.3,57.0,8.0,2769400,221552.0,Spring
2017,3,France,Holiday/leisure/recreation,8.8,74.0,7.0,3095600,216692.00000000003,Summer
2017,4,France,Holiday/leisure/recreation,6.7,33.0,6.0,2270900,136254.0,Autumn
2018,1,France,Holiday/leisure/recreation,6.0,24.0,6.0,1920700,115242.0,Winter
2018,2,France,Holiday/leisure/recreation,6.7,64.0,8.0,2951900,236152.0,Spring
2018,3,France,Holiday/leisure/recreation,8.4,74.0,7.0,3330900,233163.00000000003,Summer
2018,4,France,Holiday/leisure/recreation,5.2,22.0,5.0,2412800,120640.0,Autumn
2019,1,France,Holiday/leisure/recreation,5.0,23.0,8.0,2026700,162136.0,Winter
2019,2,France,Holiday/leisure/recreation,6.3,50.0,7.0,3021800,211526.00000000003,Spring
2019,3,France,Holiday/leisure/recreation,8.9,76.0,6.0,3334400,200064.0,Summer
2019,4,France,Holiday/leisure/recreation,5.3,21.0,6.0,2424600,145476.0,Autumn
2012,1,France,Other reason for journey,18.3,4.0,10.0,1165100,116510.0,Winter
2012,2,France,Other reason for journey,24.5,5.0,9.0,1817300,163557.0,Spring
2012,3,France,Other reason for journey,20.7,6.0,6.0,2096700,125802.0,Summer
2012,4,France,Other reason for journey,20.8,6.0,12.0,1438000,172560.0,Autumn
2013,1,France,Other reason for journey,31.0,8.0,13.0,1251700,162721.0,Winter
2013,2,France,Other reason for journey,22.9,14.0,15.0,1893000,283950.0,Spring
2013,3,France,Other reason for journey,10.1,9.0,9.0,2261000,203490.0,Summer
2013,4,France,Other reason for journey,28.4,6.0,10.0,1580100,158010.0,Autumn
2014,1,France,Other reason for journey,21.0,3.0,9.0,1342500,120825.0,Winter
2014,2,France,Other reason for journey,24.3,11.0,10.0,2126600,212660.0,Spring
2014,3,France,Other reason for journey,11.9,11.0,8.0,2440400,195232.0,Summer
2014,4,France,Other reason for journey,23.6,6.0,8.0,1694900,135592.0,Autumn
2015,1,France,Other reason for journey,31.1,7.0,12.0,1531300,183756.0,Winter
2015,2,France,Other reason for journey,22.7,13.0,12.0,2344900,281388.0,Spring
2015,3,France,Other reason for journey,14.8,8.0,10.0,2770900,277090.0,Summer
2015,4,France,Other reason for journey,17.0,9.0,11.0,1995900,219549.0,Autumn
2016,1,France,Other reason for journey,20.8,11.0,10.0,1784700,178470.0,Winter
2016,2,France,Other reason for journey,33.8,14.0,12.0,2598900,311868.0,Spring
2016,3,France,Other reason for journey,16.1,8.0,6.0,3061500,183690.0,Summer
2016,4,France,Other reason for journey,16.5,6.0,7.0,2139200,149744.0,Autumn
2017,1,France,Other reason for journey,23.9,12.0,13.0,1796100,233493.0,Winter
2017,2,France,Other reason for journey,23.3,7.0,6.0,2769400,166164.0,Spring
2017,3,France,Other reason for journey,11.6,9.0,6.0,3095600,185736.0,Summer
2017,4,France,Other reason for journey,32.8,12.0,10.0,2270900,227090.0,Autumn
2018,1,France,Other reason for journey,23.2,9.0,11.0,1920700,211277.0,Winter
2018,2,France,Other reason for journey,26.1,17.0,8.0,2951900,236152.0,Spring
2018,3,France,Other reason for journey,15.6,8.0,5.0,3330900,166545.0,Summer
2018,4,France,Other reason for journey,21.4,9.0,11.0,2412800,265408.0,Autumn
2019,1,France,Other reason for journey,18.8,6.0,11.0,2026700,222937.0,Winter
2019,2,France,Other reason for journey,30.5,14.0,12.0,3021800,362616.0,Spring
2019,3,France,Other reason for journey,11.6,8.0,7.0,3334400,233408.00000000003,Summer
2019,4,France,Other reason for journey,22.2,9.0,10.0,2424600,242460.0,Autumn
2012,1,France,Visit to friends/relatives,7.4,5.0,4.0,1165100,46604.0,Winter
2012,2,France,Visit to friends/relatives,7.1,6.0,4.0,1817300,72692.0,Spring
2012,3,France,Visit to friends/relatives,8.4,5.0,3.0,2096700,62901.0,Summer
2012,4,France,Visit to friends/relatives,6.8,5.0,3.0,1438000,43140.0,Autumn
2013,1,France,Visit to friends/relatives,6.9,5.0,3.0,1251700,37551.0,Winter
2013,2,France,Visit to friends/relatives,6.3,5.0,5.0,1893000,94650.0,Spring
2013,3,France,Visit to friends/relatives,10.4,4.0,2.0,2261000,45220.0,Summer
2013,4,France,Visit to friends/relatives,6.1,6.0,4.0,1580100,63204.0,Autumn
2014,1,France,Visit to friends/relatives,7.3,5.0,4.0,1342500,53700.0,Winter
2014,2,France,Visit to friends/relatives,9.2,7.0,4.0,2126600,85064.0,Spring
2014,3,France,Visit to friends/relatives,7.2,7.0,3.0,2440400,73212.0,Summer
2014,4,France,Visit to friends/relatives,6.8,7.0,4.0,1694900,67796.0,Autumn
2015,1,France,Visit to friends/relatives,7.0,5.0,4.0,1531300,61252.0,Winter
2015,2,France,Visit to friends/relatives,6.0,6.0,4.0,2344900,93796.0,Spring
2015,3,France,Visit to friends/relatives,8.8,5.0,2.0,2770900,55418.0,Summer
2015,4,France,Visit to friends/relatives,5.7,8.0,5.0,1995900,99795.0,Autumn
2016,1,France,Visit to friends/relatives,6.0,6.0,4.0,1784700,71388.0,Winter
2016,2,France,Visit to friends/relatives,7.1,9.0,4.0,2598900,103956.0,Spring
2016,3,France,Visit to friends/relatives,9.8,7.0,3.0,3061500,91845.0,Summer
2016,4,France,Visit to friends/relatives,6.6,6.0,4.0,2139200,85568.0,Autumn
2017,1,France,Visit to friends/relatives,7.8,7.0,4.0,1796100,71844.0,Winter
2017,2,France,Visit to friends/relatives,5.6,9.0,4.0,2769400,110776.0,Spring
2017,3,France,Visit to friends/relatives,6.6,7.0,3.0,3095600,92868.0,Summer
2017,4,France,Visit to friends/relatives,6.4,8.0,4.0,2270900,90836.0,Autumn
2018,1,France,Visit to friends/relatives,8.2,7.0,4.0,1920700,76828.0,Winter
2018,2,France,Visit to friends/relatives,6.2,12.0,4.0,2951900,118076.0,Spring
2018,3,France,Visit to friends/relatives,9.2,6.0,3.0,3330900,99927.0,Summer
2018,4,France,Visit to friends/relatives,6.9,6.0,4.0,2412800,96512.0,Autumn
2019,1,France,Visit to friends/relatives,8.1,6.0,3.0,2026700,60801.0,Winter
2019,2,France,Visit to friends/relatives,7.2,7.0,4.0,3021800,120872.0,Spring
2019,3,France,Visit to friends/relatives,10.0,9.0,3.0,3334400,100032.0,Summer
2019,4,France,Visit to friends/relatives,5.0,7.0,4.0,2424600,96984.0,Autumn
2012,1,Germany,All reasons for journey,9.9,27.0,6.0,1165100,69906.0,Winter
2012,2,Germany,All reasons for journey,8.2,71.0,8.0,1817300,145384.0,Spring
2012,3,Germany,All reasons for journey,9.2,82.0,8.0,2096700,167736.0,Summer
